product_name,category,core_ingredients,features,target_audience
蓝铜胜肽修护精华,精华,"蓝铜胜肽, 透明质酸, 泛醇, 红没药醇","快速修护, 舒缓泛红, 强韧屏障","敏感肌, 屏障受损肌肤"
麦角硫因抗氧精华,精华,"麦角硫因, 维生素C, 虾青素, 角鲨烷","强效抗氧化, 改善熬夜脸, 提亮肤色","所有肤质, 特别是肤色暗沉"
胜肽紧致面霜,面霜,"乙酰基六肽-8, 棕榈酰三肽-1, 角鲨烷, 麦角硫因","提拉紧致, 改善松弛, 淡化细纹",25岁以上所有肤质
神经酰胺修护眼霜,眼部护理,"神经酰胺, 角鲨烷, 透明质酸, 泛醇","修复屏障, 深层保湿, 舒缓敏感","干性敏感肌, 屏障受损肌肤"
依克多因修护精华,精华,"依克多因, 透明质酸, 神经酰胺, 积雪草提取物","快速修护, 深层补水, 舒缓敏感","敏感肌, 干性肌"
虾青素抗氧精华,精华,"虾青素, 麦角硫因, 维生素C, 角鲨烷","强效抗氧化, 改善熬夜脸, 快速提亮","所有肤质, 特别是肤色暗沉"
积雪草修护面霜,面霜,"积雪草提取物, 神经酰胺, 泛醇, 红没药醇","快速修护, 舒缓泛红, 强韧屏障","敏感肌, 屏障受损肌肤"
玻尿酸补水面霜,面霜,"透明质酸, 角鲨烷, 泛醇, 依克多因","深层补水, 持久保湿, 改善干燥","所有肤质, 特别是干性肌"
物理防晒BB霜,防晒,"氧化锌, 二氧化钛, 角鲨烷, 红没药醇","物理防晒, 遮瑕提亮, 温和不刺激","所有肤质, 特别是敏感肌"
化学防晒乳液,防晒,"阿伏苯宗, 奥克立林, 胡莫柳酯, 角鲨烷","轻薄透气, 持久防护, 不泛白","油性肌, 混合肌"
儿童专用防晒霜,防晒,"氧化锌, 二氧化钛, 角鲨烷, 泛醇","温和安全, 物理防晒, 不刺激","儿童肌肤, 敏感肌"
运动防晒喷雾,防晒,"阿伏苯宗, 奥克立林, 胡莫柳酯, 透明质酸","防水防汗, 轻薄透气, 快速成膜","运动人群, 户外活动"
孕妇专用防晒霜,防晒,"氧化锌, 二氧化钛, 角鲨烷, 积雪草提取物","温和安全, 物理防晒, 舒缓修护","孕妇, 敏感肌"
薰衣草舒缓精油,精油/芳香护理,"薰衣草精油, 洋甘菊精油, 荷荷巴油, 维生素E","舒缓安神, 改善睡眠, 修护肌肤","所有肤质, 特别是敏感肌"
茶树祛痘精油,精油/芳香护理,"茶树精油, 柠檬精油, 薄荷精油, 荷荷巴油","控油祛痘, 消炎杀菌, 改善毛孔",油性痘痘肌
玫瑰保湿精油,精油/芳香护理,"玫瑰精油, 天竺葵精油, 荷荷巴油, 维生素E","深层保湿, 提亮肤色, 改善干燥","干性肌, 缺水肌"
柠檬提亮精油,精油/芳香护理,"柠檬精油, 橙花精油, 荷荷巴油, 维生素C","提亮肤色, 改善暗沉, 均匀肤色","所有肤质, 特别是肤色不均"
乳香抗老精油,精油/芳香护理,"乳香精油, 没药精油, 荷荷巴油, 维生素E","抗老紧致, 淡化细纹, 改善松弛",25岁以上所有肤质
依兰依兰平衡精油,精油/芳香护理,"依兰依兰精油, 薰衣草精油, 荷荷巴油, 维生素E","平衡油脂, 舒缓压力, 改善情绪","混合肌, 油性肌"
柚子温和洁面乳,面部清洁,"柚子提取物, 氨基酸表活, 神经酰胺, 角鲨烷","温和清洁, 提亮肤色, 改善暗沉","所有肤质, 特别是暗沉肌"
柚子提亮爽肤水,爽肤水,"柚子提取物, 透明质酸, 泛醇, 维生素C","提亮肤色, 改善暗沉, 补水保湿","所有肤质, 特别是肤色不均"
柚子焕采精华,精华,"柚子提取物, 维生素C, 烟酰胺, 积雪草提取物","提亮美白, 改善暗沉, 均匀肤色","所有肤质, 特别是肤色不均"
柚子紧致眼霜,眼部护理,"柚子提取物, 咖啡因, 麦角硫因, 透明质酸","淡化黑眼圈, 提亮眼周, 紧致眼周",25岁以上所有肤质
柚子保湿乳液,乳液,"柚子提取物, 角鲨烷, 透明质酸, 泛醇","提亮保湿, 改善暗沉, 滋润肌肤","所有肤质, 特别是干性肌"
柚子修护面霜,面霜,"柚子提取物, 神经酰胺, 角鲨烷, 维生素E","提亮修护, 改善暗沉, 修复屏障","所有肤质, 特别是敏感肌"
柚子焕颜面膜,面膜,"柚子提取物, 透明质酸, 积雪草提取物, 维生素C","提亮焕颜, 改善暗沉, 补水保湿","所有肤质, 特别是肤色不均"
柚子防晒隔离霜,防晒,"氧化锌, 二氧化钛, 柚子提取物, 角鲨烷","物理防晒, 提亮肤色, 改善暗沉","所有肤质, 特别是敏感肌"
柚子舒缓精油,精油/芳香护理,"柚子精油, 薰衣草精油, 荷荷巴油, 维生素E","提亮舒缓, 改善情绪, 修护肌肤","所有肤质, 特别是敏感肌"
山茶花温和洁面乳,面部清洁,"山茶花提取物, 氨基酸表活, 神经酰胺, 角鲨烷","温和清洁, 抗氧化, 修护屏障","所有肤质, 特别是敏感肌"
山茶花修护爽肤水,爽肤水,"山茶花提取物, 透明质酸, 泛醇, 积雪草提取物","修护舒缓, 抗氧化, 补水保湿","敏感肌, 屏障受损肌肤"
山茶花修护精华,精华,"山茶花提取物, 神经酰胺, 积雪草提取物, 红没药醇","修护屏障, 舒缓泛红, 强韧肌肤","敏感肌, 屏障受损肌肤"
山茶花舒缓眼霜,眼部护理,"山茶花提取物, 红没药醇, 泛醇, 透明质酸","舒缓眼周, 修护屏障, 改善敏感","敏感肌, 干性敏感肌"
山茶花修护乳液,乳液,"山茶花提取物, 神经酰胺, 角鲨烷, 泛醇","修护屏障, 深层保湿, 舒缓敏感","敏感肌, 屏障受损肌肤"
山茶花修护面霜,面霜,"山茶花提取物, 神经酰胺, 角鲨烷, 积雪草提取物","修护屏障, 舒缓泛红, 强韧肌肤","敏感肌, 屏障受损肌肤"
山茶花修护面膜,面膜,"山茶花提取物, 透明质酸, 神经酰胺, 积雪草提取物","快速修护, 舒缓泛红, 补水保湿","敏感肌, 干性敏感肌"
山茶花物理防晒霜,防晒,"氧化锌, 二氧化钛, 山茶花提取物, 角鲨烷","物理防晒, 修护屏障, 舒缓敏感","敏感肌, 屏障受损肌肤"
山茶花舒缓精油,精油/芳香护理,"山茶花精油, 薰衣草精油, 荷荷巴油, 维生素E","舒缓修护, 改善情绪, 强韧屏障","敏感肌, 屏障受损肌肤"
