index,content_type,best_model,golden_avg_score,finetuned_avg_score,base_avg_score,golden_critique,finetuned_critique,base_critique,golden_scores,finetuned_scores,base_scores
10,social_media_educational,A,5.0,3.75,3.75,专业科普，故事性强,成分解析清晰但缺乏故事,情感共鸣强但专业性稍弱,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，故事性强'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '成分解析清晰但缺乏故事'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感共鸣强但专业性稍弱'}"
11,social_media_myth_busting,A,5.0,4.0,2.75,专业科普，完美契合品牌,实用信息，稍显广告感,情感化，偏离专业调性,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，完美契合品牌'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '实用信息，稍显广告感'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 3, 'critique': '情感化，偏离专业调性'}"
12,social_media_storytelling,A,5.0,3.5,2.5,真实感人设，完美契合品牌,信息丰富但广告感较重,内容空洞，偏离品牌调性,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感人设，完美契合品牌'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '信息丰富但广告感较重'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 3, 'critique': '内容空洞，偏离品牌调性'}"
13,ecommerce_long_form,A,5.0,4.0,3.0,专业权威，逻辑严谨,信息全面，结构清晰,基础信息完整，缺乏深度,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业权威，逻辑严谨'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息全面，结构清晰'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '基础信息完整，缺乏深度'}"
14,paid_ad_cta,A,4.8,3.0,4.8,文案简洁有力，CTA明确且与内容紧密结合。,文案过于冗长，包含大量不必要的细节，完全不适合付费广告。,钩子极具冲击力，能迅速激发好奇心，CTA明确且有说服力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，CTA明确且与内容紧密结合。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案过于冗长，包含大量不必要的细节，完全不适合付费广告。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，能迅速激发好奇心，CTA明确且有说服力。'}"
15,paid_ad_pas,A,4.8,4.4,3.4,文案简洁有力，完美符合信息流广告的短平快特性。,文案吸引力强，但略显冗长，部分内容可以更简洁。,文案过于冗长，完全不适合信息流广告的快速阅读场景。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，完美符合信息流广告的短平快特性。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案吸引力强，但略显冗长，部分内容可以更简洁。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案过于冗长，完全不适合信息流广告的快速阅读场景。'}"
16,paid_ad_bab,A,4.8,3.8,4.0,文案简洁有力，直接点出产品核心卖点，CTA明确。,文案内容详细但略显冗长，开头吸引力一般。,文案结构清晰但篇幅过长，不符合信息流广告的简洁要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，直接点出产品核心卖点，CTA明确。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案内容详细但略显冗长，开头吸引力一般。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构清晰但篇幅过长，不符合信息流广告的简洁要求。'}"
17,paid_ad_fab,B,4.6,4.8,3.6,文案简洁且信息高度压缩，完美适配信息流广告。,极具冲击力的开头，能迅速激发好奇心或击中痛点。,文案略显冗长，包含了一些不必要的细节。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息高度压缩，完美适配信息流广告。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，能迅速激发好奇心或击中痛点。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案略显冗长，包含了一些不必要的细节。'}"
18,social_media_review,A,5.0,4.0,3.0,真实故事与专业分析完美结合,使用感受生动但专业度稍逊,内容常规缺乏深度互动点,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与专业分析完美结合'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '使用感受生动但专业度稍逊'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '内容常规缺乏深度互动点'}"
19,social_media_educational,A,5.0,4.0,3.0,专业科普，完美契合品牌,科学性强，略有广告感,通俗易懂，专业度不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，完美契合品牌'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学性强，略有广告感'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '通俗易懂，专业度不足'}"
20,social_media_myth_busting,A,5.0,4.0,3.0,专业科普，故事性强,科学解释，略显生硬,情感化，专业度不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，故事性强'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学解释，略显生硬'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感化，专业度不足'}"
21,social_media_storytelling,A,5.0,3.75,2.75,真实感人，品牌契合度高,内容有价值，但故事性稍弱,广告感强，缺乏深度,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感人，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '内容有价值，但故事性稍弱'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '广告感强，缺乏深度'}"
22,ecommerce_long_form,A,5.0,3.0,1.0,专业性强，信息清晰，信任感高,内容专业但论证不足,营销感强，缺乏专业性,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '内容专业但论证不足'}","{'score_professionalism_persuasion': 1, 'score_clarity_value': 1, 'score_trust_building': 1, 'critique': '营销感强，缺乏专业性'}"
23,paid_ad_cta,B,4.4,5.0,4.0,文案简洁有力，直接点出问题并提供解决方案，符合品牌理念。,极具冲击力的开头，限时特惠和具体效果数据增加了点击吸引力。,文案结构清晰但略显冗长，开头吸引力一般。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，直接点出问题并提供解决方案，符合品牌理念。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，限时特惠和具体效果数据增加了点击吸引力。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构清晰但略显冗长，开头吸引力一般。'}"
24,paid_ad_pas,A,4.8,4.0,3.2,简洁有力，直接击中痛点并提供解决方案。,结构清晰但略显冗长，部分内容可以更精简。,过于冗长，不适合快速滑动的信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中痛点并提供解决方案。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰但略显冗长，部分内容可以更精简。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 2, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '过于冗长，不适合快速滑动的信息流广告。'}"
25,paid_ad_bab,A,4.8,4.2,3.8,文案简洁有力，CTA明确且与内容紧密结合。,开头极具吸引力，但CTA较弱且文案略显冗长。,文案过于冗长，开头吸引力不足，但CTA较为明确。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，CTA明确且与内容紧密结合。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '开头极具吸引力，但CTA较弱且文案略显冗长。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案过于冗长，开头吸引力不足，但CTA较为明确。'}"
26,paid_ad_fab,A,5.0,3.8,3.2,文案简洁有力，信息高度压缩，完美适配信息流广告。,文案结构清晰，但CTA较弱，缺乏直接点击的冲动。,文案过于冗长，包含大量不必要的细节，不适合信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，信息高度压缩，完美适配信息流广告。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案结构清晰，但CTA较弱，缺乏直接点击的冲动。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案过于冗长，包含大量不必要的细节，不适合信息流广告。'}"
27,social_media_review,A,5.0,4.25,3.25,真实感强，专业与情感完美结合,信息全面但缺乏亮点,情感充沛但专业感不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，专业与情感完美结合'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '信息全面但缺乏亮点'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感充沛但专业感不足'}"
28,social_media_educational,A,5.0,4.0,3.0,专业科普，品牌契合度高,真实体验，科普结合,情感化表达，科普稍弱,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '真实体验，科普结合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感化表达，科普稍弱'}"
29,social_media_myth_busting,A,5.0,3.5,2.25,专业科普，故事性强,信息清晰但缺乏深度,过于营销化，缺乏专业性,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，故事性强'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息清晰但缺乏深度'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 2, 'score_brand_fit': 2, 'score_instruction_following': 3, 'critique': '过于营销化，缺乏专业性'}"
30,social_media_storytelling,A,5.0,3.75,2.5,真实感人设，完美契合品牌,信息丰富但故事性稍弱,过于夸张，偏离品牌调性,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感人设，完美契合品牌'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息丰富但故事性稍弱'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 3, 'critique': '过于夸张，偏离品牌调性'}"
31,ecommerce_long_form,A,5.0,4.333333333333333,3.3333333333333335,专业性强，信息清晰，信任感高,信息完整，信任感强，专业性稍逊,基础信息完整，但专业性不足,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 5, 'critique': '信息完整，信任感强，专业性稍逊'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 4, 'critique': '基础信息完整，但专业性不足'}"
32,paid_ad_cta,A,5.0,4.0,4.4,简洁有力，直接击中敏感肌用户的痛点，CTA明确。,信息详细但略显冗长，开头吸引力尚可但不够突出。,结构清晰但部分内容重复，CTA强烈但文案稍显冗长。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中敏感肌用户的痛点，CTA明确。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '信息详细但略显冗长，开头吸引力尚可但不够突出。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰但部分内容重复，CTA强烈但文案稍显冗长。'}"
33,paid_ad_pas,A,5.0,3.8,2.8,简洁有力，痛点放大与解决紧密结合，CTA明确,信息详细但稍显冗长，CTA较弱,过于冗长，不符合付费广告的短平快要求,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，痛点放大与解决紧密结合，CTA明确'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '信息详细但稍显冗长，CTA较弱'}","{'score_suitability_brevity': 1, 'score_click_appeal': 2, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '过于冗长，不符合付费广告的短平快要求'}"
34,paid_ad_bab,A,4.8,4.2,3.6,简洁有力，直接击中敏感肌痛点，CTA明确。,情感共鸣强，但结构稍显冗长，CTA较弱。,描述过于详细，缺乏即时吸引力，适合长文案但不适合付费广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中敏感肌痛点，CTA明确。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '情感共鸣强，但结构稍显冗长，CTA较弱。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '描述过于详细，缺乏即时吸引力，适合长文案但不适合付费广告。'}"
35,paid_ad_fab,A,4.8,4.0,3.6,简洁且信息高度压缩，完美适配信息流广告,信息详细但略显冗长，适合深度阅读但不符合短平快要求,过于冗长且结构复杂，不适合快速浏览的信息流广告,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁且信息高度压缩，完美适配信息流广告'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '信息详细但略显冗长，适合深度阅读但不符合短平快要求'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '过于冗长且结构复杂，不适合快速浏览的信息流广告'}"
36,social_media_review,A,5.0,4.0,3.0,专业且真实的使用反馈,实用但缺乏深度,情感化但专业性不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实的使用反馈'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '实用但缺乏深度'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感化但专业性不足'}"
37,social_media_educational,A,4.75,3.75,2.75,专业科普，品牌契合度高,信息丰富，但故事性稍弱,广告感强，缺乏深度,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息丰富，但故事性稍弱'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '广告感强，缺乏深度'}"
38,social_media_myth_busting,A,5.0,3.75,2.75,专业科普，破除误区,信息全面但缺乏深度,内容浅显，广告感强,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，破除误区'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息全面但缺乏深度'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '内容浅显，广告感强'}"
39,social_media_storytelling,A,5.0,3.75,2.75,真实故事与专业完美融合,信息丰富但故事性稍弱,情感表达但专业性不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与专业完美融合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息丰富但故事性稍弱'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感表达但专业性不足'}"
