index,content_type,best_model,base_avg_score,sft_avg_score,grpo_avg_score,base_critique,sft_critique,grpo_critique,base_scores,sft_scores,grpo_scores
13,ecommerce_long_form,B,4.0,5.0,3.0,专业且全面，但略显常规,科学严谨，说服力强,自然温和，但专业性不足,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '专业且全面，但略显常规'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '科学严谨，说服力强'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '自然温和，但专业性不足'}"
14,paid_ad_cta,C,4.8,3.4,5.0,文案简洁有力，行动号召明确，但钩子部分略显普通。,文案过于冗长，包含过多细节，不适合快速阅读的信息流广告。,文案简洁且极具吸引力，钩子和行动号召都非常有效。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，行动号召明确，但钩子部分略显普通。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案过于冗长，包含过多细节，不适合快速阅读的信息流广告。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且极具吸引力，钩子和行动号召都非常有效。'}"
15,paid_ad_pas,B,4.4,4.8,3.6,文案结构完整，CTA明确有力，但略显冗长。,简洁有力，痛点放大和解决方案紧密结合，极具点击吸引力。,技术细节过多，不符合付费广告短平快的本质。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构完整，CTA明确有力，但略显冗长。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，痛点放大和解决方案紧密结合，极具点击吸引力。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '技术细节过多，不符合付费广告短平快的本质。'}"
16,paid_ad_bab,B,4.2,5.0,4.6,文案内容丰富，但略显冗长，不够简洁。,文案简洁有力，吸引力强，CTA明确。,文案吸引力强，但CTA略显不足。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富，但略显冗长，不够简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，吸引力强，CTA明确。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案吸引力强，但CTA略显不足。'}"
17,paid_ad_fab,B,4.2,5.0,4.0,文案内容丰富，但略显冗长，适合深度阅读但不符合信息流广告的短平快要求。,简洁有力，核心信息突出，CTA明确，非常适合信息流广告的快速阅读场景。,文案科学性强，但缺乏吸引眼球的亮点和明确的CTA，点击吸引力不足。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富，但略显冗长，适合深度阅读但不符合信息流广告的短平快要求。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，核心信息突出，CTA明确，非常适合信息流广告的快速阅读场景。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案科学性强，但缺乏吸引眼球的亮点和明确的CTA，点击吸引力不足。'}"
18,social_media_review,C,3.25,4.25,5.0,产品卖点突出，但故事性较弱,真实使用体验，品牌契合度高,情感真挚，品牌理念自然融入,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '产品卖点突出，但故事性较弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实使用体验，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感真挚，品牌理念自然融入'}"
19,social_media_educational,C,3.25,4.5,5.0,产品卖点突出但故事性不足,科学性强，品牌契合度高,科学解释深入，故事引人入胜,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '产品卖点突出但故事性不足'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学性强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学解释深入，故事引人入胜'}"
20,social_media_myth_busting,B,3.75,4.75,3.75,广告感较重，但品牌契合度高,专业性强，内容价值高,科普性强，但故事性不足,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '广告感较重，但品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业性强，内容价值高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科普性强，但故事性不足'}"
21,social_media_storytelling,C,3.5,4.25,5.0,广告感较重，缺乏深度,情感真挚，专业性强,故事引人入胜，品牌契合度高,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，专业性强'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事引人入胜，品牌契合度高'}"
22,ecommerce_long_form,C,3.3333333333333335,3.6666666666666665,5.0,信息清晰但专业性一般,专业性强但信任感不足,专业清晰且信任感强,"{'score_professionalism_persuasion': 3, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '信息清晰但专业性一般'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '专业性强但信任感不足'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业清晰且信任感强'}"
23,paid_ad_cta,B,4.2,5.0,4.4,钩子吸引人，但利益点部分稍显冗长,简洁有力，限时特惠和具体数据增强点击吸引力,科学配方符合品牌人格，但CTA略显平淡,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子吸引人，但利益点部分稍显冗长'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，限时特惠和具体数据增强点击吸引力'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '科学配方符合品牌人格，但CTA略显平淡'}"
24,paid_ad_pas,B,3.8,5.0,4.4,文案过于冗长，不符合信息流广告的简洁要求。,简洁有力，痛点放大解决结构清晰，CTA明确。,文案简洁，但CTA略显模糊，点击吸引力稍逊。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案过于冗长，不符合信息流广告的简洁要求。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，痛点放大解决结构清晰，CTA明确。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁，但CTA略显模糊，点击吸引力稍逊。'}"
25,paid_ad_bab,C,4.2,4.6,4.8,文案情感丰富，但部分描述略显冗长，不够简洁。,文案简洁有力，数据支撑增强了可信度，但CTA稍显薄弱。,文案简洁且结构清晰，CTA明确，但开头吸引力稍逊。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案情感丰富，但部分描述略显冗长，不够简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，数据支撑增强了可信度，但CTA稍显薄弱。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且结构清晰，CTA明确，但开头吸引力稍逊。'}"
26,paid_ad_fab,B,3.4,4.6,4.6,灾难性的冗长，完全不适合作为付费广告,简洁有力，科学配方和专利复合胶原蛋白的表述极具吸引力,CTA明确且与文案内容紧密结合，但开头略显平淡,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合作为付费广告'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，科学配方和专利复合胶原蛋白的表述极具吸引力'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': 'CTA明确且与文案内容紧密结合，但开头略显平淡'}"
27,social_media_review,C,3.75,4.25,5.0,广告感较重，但信息丰富,真实感强，品牌契合度高,故事真实，品牌契合完美,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '广告感较重，但信息丰富'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事真实，品牌契合完美'}"
28,social_media_educational,C,3.25,4.5,4.75,广告感较重，但成分介绍详细,科学性强，品牌契合度高,故事性强，互动潜力大,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，但成分介绍详细'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学性强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性强，互动潜力大'}"
29,social_media_myth_busting,C,3.25,4.25,5.0,产品卖点突出，但故事性较弱,破除误区，内容实用,故事引人入胜，专业性强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '产品卖点突出，但故事性较弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '破除误区，内容实用'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事引人入胜，专业性强'}"
30,social_media_storytelling,B,3.25,4.25,3.75,情感真挚但专业感不足,故事与专业完美结合,专业性强但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感真挚但专业感不足'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事与专业完美结合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '专业性强但故事性稍弱'}"
31,ecommerce_long_form,B,3.6666666666666665,5.0,4.0,专业性强，信息清晰,专业权威，信任感强,信息全面，说服力佳,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '专业性强，信息清晰'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业权威，信任感强'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息全面，说服力佳'}"
32,paid_ad_cta,C,4.4,3.4,5.0,CTA明确且有说服力，但文案略显冗长。,包含过多细节，不够简洁，吸引力一般。,简洁有力，钩子吸引人，CTA明确且与内容紧密结合。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': 'CTA明确且有说服力，但文案略显冗长。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '包含过多细节，不够简洁，吸引力一般。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，钩子吸引人，CTA明确且与内容紧密结合。'}"
33,paid_ad_pas,B,3.4,4.8,4.2,灾难性的冗长，完全不适合作为付费广告,简洁有力，迅速击中敏感肌痛点,痛点列举清晰，但CTA稍弱,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合作为付费广告'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，迅速击中敏感肌痛点'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '痛点列举清晰，但CTA稍弱'}"
34,paid_ad_bab,B,4.0,4.8,4.4,文案内容详细，但略显冗长，不够简洁。,文案简洁有力，能迅速抓住注意力，且信息准确。,文案简洁且信息准确，但吸引力略逊于模型B。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容详细，但略显冗长，不够简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，能迅速抓住注意力，且信息准确。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息准确，但吸引力略逊于模型B。'}"
35,paid_ad_fab,C,4.0,4.2,4.6,文案内容全面但略显冗长，适合详细阅读但不适合快速滑动场景。,文案简洁有力，但CTA部分稍显模板化，缺乏更强的行动号召力。,文案极其简洁，信息高度压缩，完美适配信息流的阅读场景，但CTA部分较弱。,"{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容全面但略显冗长，适合详细阅读但不适合快速滑动场景。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，但CTA部分稍显模板化，缺乏更强的行动号召力。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其简洁，信息高度压缩，完美适配信息流的阅读场景，但CTA部分较弱。'}"
36,social_media_review,C,3.25,4.25,5.0,情感真挚但专业感稍弱,专业与真实感平衡较好,完美融合专业与真实感,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感真挚但专业感稍弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业与真实感平衡较好'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '完美融合专业与真实感'}"
37,social_media_educational,B,3.25,4.75,4.25,信息全面但缺乏深度,专业科普，品牌契合度高,故事性强，品牌理念自然融入,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '信息全面但缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性强，品牌理念自然融入'}"
38,social_media_myth_busting,C,3.25,4.25,5.0,广告感较重，但指令遵循良好,科学性强，信息价值高,专业且真实，完美契合品牌,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，但指令遵循良好'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学性强，信息价值高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实，完美契合品牌'}"
39,social_media_storytelling,B,3.5,4.75,4.5,情感真挚但专业感稍弱,专业与情感完美结合,故事真实但品牌调性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感真挚但专业感稍弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与情感完美结合'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事真实但品牌调性稍弱'}"
