index,content_type,best_model,golden_avg_score,finetuned_avg_score,base_avg_score,golden_critique,finetuned_critique,base_critique,golden_scores,finetuned_scores,base_scores
10,social_media_educational,A,4.75,3.75,4.75,专业科普，品牌契合度高,简洁有力，略有广告感,情感真挚，互动潜力强,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '简洁有力，略有广告感'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，互动潜力强'}"
11,social_media_myth_busting,A,5.0,4.0,3.0,专业科普，故事真实,科学思路清晰,情感丰富但专业不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，故事真实'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学思路清晰'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感丰富但专业不足'}"
12,social_media_storytelling,A,5.0,3.25,4.25,真实故事与专业完美融合,中规中矩，缺乏亮点,情感丰富但稍显夸张,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与专业完美融合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '中规中矩，缺乏亮点'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感丰富但稍显夸张'}"
13,ecommerce_long_form,A,5.0,4.0,3.0,专业性强，逻辑严谨，信任感高,信息清晰，但论证稍显不足,内容全面，但专业性一般,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，逻辑严谨，信任感高'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息清晰，但论证稍显不足'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '内容全面，但专业性一般'}"
14,paid_ad_cta,A,4.8,4.2,4.8,简洁且直接，完美遵循指令，但点击吸引力稍逊。,点击吸引力强，但过于冗长，包含不必要细节。,极具冲击力，完美遵循指令，但稍显冗长。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁且直接，完美遵循指令，但点击吸引力稍逊。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '点击吸引力强，但过于冗长，包含不必要细节。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，完美遵循指令，但稍显冗长。'}"
15,paid_ad_pas,B,4.6,5.0,3.6,文案简洁有力，痛点放大与解决方案结合紧密，CTA明确。,文案极其精炼，痛点放大效果显著，CTA强烈且直接。,文案过于冗长，虽然内容丰富但不符合信息流广告的简洁要求。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，痛点放大与解决方案结合紧密，CTA明确。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其精炼，痛点放大效果显著，CTA强烈且直接。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案过于冗长，虽然内容丰富但不符合信息流广告的简洁要求。'}"
16,paid_ad_bab,A,4.8,4.2,4.4,简洁有力，直接击中痛点并迅速提供解决方案。,结构清晰但略显冗长，部分内容可进一步精简。,情感共鸣强烈但过于冗长，不适合快速滑动的信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中痛点并迅速提供解决方案。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰但略显冗长，部分内容可进一步精简。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '情感共鸣强烈但过于冗长，不适合快速滑动的信息流广告。'}"
17,paid_ad_fab,A,4.8,4.0,4.0,文案简洁有力，信息高度压缩，完美适配信息流广告。,开头极具冲击力，但文案稍显冗长，部分信息可进一步精简。,文案内容丰富，但略显冗长，部分信息可进一步压缩以提高简洁性。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，信息高度压缩，完美适配信息流广告。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '开头极具冲击力，但文案稍显冗长，部分信息可进一步精简。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富，但略显冗长，部分信息可进一步压缩以提高简洁性。'}"
18,social_media_review,A,4.75,4.75,3.5,专业与真实感并存,故事性强，细节丰富,情感充沛但稍显夸张,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与真实感并存'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性强，细节丰富'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感充沛但稍显夸张'}"
19,social_media_educational,B,4.75,5.0,3.5,专业科普，信息丰富,故事性强，科学融合,情感丰富，稍显夸张,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，信息丰富'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事性强，科学融合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感丰富，稍显夸张'}"
20,social_media_myth_busting,A,4.75,3.75,4.75,专业科普，品牌契合度高,信息准确但缺乏故事性,故事性强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息准确但缺乏故事性'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性强，互动潜力高'}"
21,social_media_storytelling,A,5.0,4.0,3.0,情感真挚，品牌契合度高,内容中规中矩，略有广告感,过于夸张，品牌契合度低,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '内容中规中矩，略有广告感'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '过于夸张，品牌契合度低'}"
22,ecommerce_long_form,B,4.0,5.0,3.0,专业性强，逻辑清晰,科学严谨，信息全面,情感丰富，专业稍逊,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '专业性强，逻辑清晰'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '科学严谨，信息全面'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '情感丰富，专业稍逊'}"
23,paid_ad_cta,C,4.2,4.6,5.0,文案简洁且信息准确，但开头吸引力一般,极具吸引力且CTA明确，但略显冗长,简洁有力，吸引力强且CTA明确,"{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息准确，但开头吸引力一般'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具吸引力且CTA明确，但略显冗长'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，吸引力强且CTA明确'}"
24,paid_ad_pas,A,4.6,4.4,4.4,简洁有力，直接击中痛点并迅速提供解决方案。,开头极具吸引力，但稍显冗长，部分细节可以更精简。,情感共鸣强烈，但过于冗长，不适合快速滑动的信息流广告。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中痛点并迅速提供解决方案。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '开头极具吸引力，但稍显冗长，部分细节可以更精简。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '情感共鸣强烈，但过于冗长，不适合快速滑动的信息流广告。'}"
25,paid_ad_bab,A,4.8,3.6,3.8,简洁有力，直接击中痛点并明确行动号召。,过于冗长，信息流广告中难以快速吸引注意力。,沉浸式描述虽吸引人，但过于详细，不适合快速浏览。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中痛点并明确行动号召。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '过于冗长，信息流广告中难以快速吸引注意力。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '沉浸式描述虽吸引人，但过于详细，不适合快速浏览。'}"
26,paid_ad_fab,A,4.8,3.6,4.0,文案简洁有力，科学配方的描述精准且吸引人。,文案包含视觉描述，虽吸引人但不适合纯文本广告。,文案内容丰富但过于冗长，不适合快速阅读的信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方的描述精准且吸引人。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案包含视觉描述，虽吸引人但不适合纯文本广告。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富但过于冗长，不适合快速阅读的信息流广告。'}"
27,social_media_review,A,5.0,4.25,3.25,专业与真实完美结合,实用但稍显平淡,情感充沛但专业性不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与真实完美结合'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '实用但稍显平淡'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感充沛但专业性不足'}"
28,social_media_educational,A,4.75,3.75,4.25,专业科普，品牌契合度高,科学解释清晰，但故事性稍弱,故事性强，但品牌专业感不足,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学解释清晰，但故事性稍弱'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '故事性强，但品牌专业感不足'}"
29,social_media_myth_busting,A,4.75,4.75,3.5,专业科普，品牌契合度高,故事性强，互动潜力大,情感化表达，品牌契合稍弱,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性强，互动潜力大'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感化表达，品牌契合稍弱'}"
30,social_media_storytelling,A,5.0,4.0,3.0,真实感强，品牌契合度高,信息丰富，但稍显广告感,情感充沛，但专业感不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息丰富，但稍显广告感'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感充沛，但专业感不足'}"
31,ecommerce_long_form,A,5.0,4.0,3.0,专业严谨，说服力强,专业但稍显平淡,信息完整但结构松散,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业严谨，说服力强'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '专业但稍显平淡'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '信息完整但结构松散'}"
32,paid_ad_cta,B,4.6,4.8,3.4,简洁性极佳，信息高度压缩，完美适配信息流广告,极具冲击力的开头，能迅速激发好奇心,过于冗长，包含了大段不必要的细节,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁性极佳，信息高度压缩，完美适配信息流广告'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，能迅速激发好奇心'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '过于冗长，包含了大段不必要的细节'}"
33,paid_ad_pas,A,4.8,4.6,4.6,简洁性极佳，信息高度压缩，完美适配信息流的阅读场景。,极具冲击力，能迅速激发好奇心或击中痛点。,极具冲击力，但略有啰嗦，核心信息尚算清晰。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁性极佳，信息高度压缩，完美适配信息流的阅读场景。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，能迅速激发好奇心或击中痛点。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，但略有啰嗦，核心信息尚算清晰。'}"
34,paid_ad_bab,A,4.8,3.6,3.6,简洁有力，直接击中敏感肌痛点，CTA明确。,结构清晰但略显冗长，信息流场景下可能不够吸引。,情感共鸣强但过于冗长，不适合快速滑动的信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中敏感肌痛点，CTA明确。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '结构清晰但略显冗长，信息流场景下可能不够吸引。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '情感共鸣强但过于冗长，不适合快速滑动的信息流广告。'}"
35,paid_ad_fab,B,4.2,5.0,4.2,文案简洁且信息准确，但开头缺乏足够的吸引力。,文案简洁有力，开头极具吸引力，CTA明确且有效。,文案内容丰富但略显冗长，开头吸引力尚可但不够突出。,"{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息准确，但开头缺乏足够的吸引力。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，开头极具吸引力，CTA明确且有效。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富但略显冗长，开头吸引力尚可但不够突出。'}"
36,social_media_review,A,5.0,4.25,3.25,专业且真实的使用反馈,真实但稍显平淡,情感丰富但专业性不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实的使用反馈'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实但稍显平淡'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感丰富但专业性不足'}"
37,social_media_educational,C,4.75,3.75,5.0,专业科普，信息丰富,科普与产品结合较好,情感与专业完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，信息丰富'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科普与产品结合较好'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感与专业完美融合'}"
38,social_media_myth_busting,A,5.0,3.25,4.25,专业科普，破除误区,个人体验分享，稍显普通,互动性强，信息清晰,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，破除误区'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '个人体验分享，稍显普通'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '互动性强，信息清晰'}"
39,social_media_storytelling,A,5.0,4.0,3.0,真实故事与专业完美融合,故事完整但稍显广告感,内容活泼但专业感不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与专业完美融合'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '故事完整但稍显广告感'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '内容活泼但专业感不足'}"
40,ecommerce_long_form,A,5.0,4.0,3.0,专业性强，逻辑严谨,信息完整，但略显平淡,通俗易懂，但专业性不足,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，逻辑严谨'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息完整，但略显平淡'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '通俗易懂，但专业性不足'}"
